"Maquina","Bloque","u"
"Maquina 2","Bloque 3",1
"Maquina 1","Bloque 4",1
"Maquina 1","Bloque 5",1
"Maquina 2","Bloque 5",1
"Maquina 2","Bloque 6",1
"Maquina 1","Bloque 7",1
"Maquina 2","Bloque 11",1
"Maquina 1","Bloque 14",1
"Maquina 1","Bloque 15",1
"Maquina 2","Bloque 15",1
"Maquina 1","Bloque 17",1
"Maquina 1","Bloque 18",1
"Maquina 1","Bloque 19",1
"Maquina 2","Bloque 19",1
"Maquina 2","Bloque 20",1
"Maquina 2","Bloque 21",1
"Maquina 1","Bloque 24",1
"Maquina 1","Bloque 26",1
"Maquina 1","Bloque 28",1
"Maquina 1","Bloque 29",1
"Maquina 2","Bloque 30",1
"Maquina 1","Bloque 33",1
"Maquina 1","Bloque 34",1
"Maquina 2","Bloque 37",1
"Maquina 1","Bloque 38",1
"Maquina 1","Bloque 39",1
"Maquina 1","Bloque 40",1
"Maquina 1","Bloque 41",1
"Maquina 2","Bloque 41",1
