"Bloque1","Bloque2","Distancia"
"Bloque 0","Bloque 0",0
"Bloque 1","Bloque 0",0.807069502634795
"Bloque 2","Bloque 0",1.19146102089546
"Bloque 3","Bloque 0",0.82143584004783
"Bloque 4","Bloque 0",1.58306236263627
"Bloque 5","Bloque 0",1.03915098763552
"Bloque 6","Bloque 0",0.870389330287582
"Bloque 7","Bloque 0",0.85266326934565
"Bloque 8","Bloque 0",0.328668548283567
"Bloque 9","Bloque 0",0.422257831947696
"Bloque 10","Bloque 0",0.546133855155154
"Bloque 11","Bloque 0",0.399113391596575
"Bloque 12","Bloque 0",0.165574215903213
"Bloque 13","Bloque 0",0.849886882933121
"Bloque 14","Bloque 0",0.533392118298531
"Bloque 15","Bloque 0",1.33167128077419
"Bloque 16","Bloque 0",0.73440803459918
"Bloque 17","Bloque 0",1.32571945179676
"Bloque 18","Bloque 0",0.888846450344107
"Bloque 19","Bloque 0",1.12935322593698
"Bloque 20","Bloque 0",1.38378139217782
"Bloque 21","Bloque 0",1.41772023671439
"Bloque 22","Bloque 0",0.665332964850319
"Bloque 23","Bloque 0",0.554699633387736
"Bloque 24","Bloque 0",0.781097428204701
"Bloque 25","Bloque 0",0.93779401495786
"Bloque 26","Bloque 0",0.408659272675758
"Bloque 27","Bloque 0",0.486762378035629
"Bloque 28","Bloque 0",0.556021878305261
"Bloque 29","Bloque 0",0.519140172291949
"Bloque 30","Bloque 0",0.304637296362075
"Bloque 31","Bloque 0",0.66200597450677
"Bloque 32","Bloque 0",0.44771798509718
"Bloque 33","Bloque 0",0.13882960804322
"Bloque 34","Bloque 0",0.252110611365806
"Bloque 35","Bloque 0",0.488315581151376
"Bloque 0","Bloque 1",0.807069502634795
"Bloque 1","Bloque 1",0
"Bloque 2","Bloque 1",0.405858648617828
"Bloque 3","Bloque 1",0.206751501530216
"Bloque 4","Bloque 1",0.775992860001471
"Bloque 5","Bloque 1",0.232081485000723
"Bloque 6","Bloque 1",0.0786567977536483
"Bloque 7","Bloque 1",0.211824816407398
"Bloque 8","Bloque 1",1.13573805091836
"Bloque 9","Bloque 1",1.22932733458249
