"Bloque1","Bloque2","Distancia"
"Bloque 0","Bloque 0",0
"Bloque 1","Bloque 0",0.462912207152561
"Bloque 2","Bloque 0",0.72669485716186
"Bloque 3","Bloque 0",0.398413579536775
"Bloque 4","Bloque 0",0.372163219793827
"Bloque 5","Bloque 0",0.551450726189989
"Bloque 6","Bloque 0",0.77786646399076
"Bloque 7","Bloque 0",0.755063599715277
"Bloque 8","Bloque 0",0.738325173979056
"Bloque 9","Bloque 0",1.49580544442894
"Bloque 10","Bloque 0",0.931463738562935
"Bloque 11","Bloque 0",1.428479595233
"Bloque 12","Bloque 0",1.3060652526912
"Bloque 0","Bloque 1",0.462912207152561
"Bloque 1","Bloque 1",0
"Bloque 2","Bloque 1",0.263782650009299
"Bloque 3","Bloque 1",0.500286123351679
"Bloque 4","Bloque 1",0.246066488768256
"Bloque 5","Bloque 1",0.798387967699503
"Bloque 6","Bloque 1",1.02480370550027
"Bloque 7","Bloque 1",1.00200084122479
"Bloque 8","Bloque 1",0.98526241548857
"Bloque 9","Bloque 1",1.95871765158151
"Bloque 10","Bloque 1",1.3943759457155
"Bloque 11","Bloque 1",1.89139180238556
"Bloque 12","Bloque 1",1.76897745984376
"Bloque 0","Bloque 2",0.72669485716186
"Bloque 1","Bloque 2",0.263782650009299
"Bloque 2","Bloque 2",0
"Bloque 3","Bloque 2",0.328281277625085
"Bloque 4","Bloque 2",0.354531637368033
"Bloque 5","Bloque 2",0.635916361745883
"Bloque 6","Bloque 2",0.821068375213511
"Bloque 7","Bloque 2",0.798265510938027
"Bloque 8","Bloque 2",0.781527085201806
"Bloque 9","Bloque 2",2.2225003015908
"Bloque 10","Bloque 2",1.65815859572479
"Bloque 11","Bloque 2",2.15517445239486
"Bloque 12","Bloque 2",2.03276010985306
"Bloque 0","Bloque 3",0.398413579536775
"Bloque 1","Bloque 3",0.500286123351679
"Bloque 2","Bloque 3",0.328281277625085
"Bloque 3","Bloque 3",0
"Bloque 4","Bloque 3",0.254219634583424
"Bloque 5","Bloque 3",0.307635084120798
"Bloque 6","Bloque 3",0.524517582148595
"Bloque 7","Bloque 3",0.501714717873112
"Bloque 8","Bloque 3",0.484976292136891
"Bloque 9","Bloque 3",1.89421902396572
"Bloque 10","Bloque 3",1.32987731809971
"Bloque 11","Bloque 3",1.82689317476978
"Bloque 12","Bloque 3",1.70447883222797
"Bloque 0","Bloque 4",0.372163219793827
"Bloque 1","Bloque 4",0.246066488768256
"Bloque 2","Bloque 4",0.354531637368033
"Bloque 3","Bloque 4",0.254219634583424
"Bloque 4","Bloque 4",0
"Bloque 5","Bloque 4",0.552321478931247
"Bloque 6","Bloque 4",0.778737216732019
"Bloque 7","Bloque 4",0.755934352456535
"Bloque 8","Bloque 4",0.739195926720314
"Bloque 9","Bloque 4",1.86796866422277
"Bloque 10","Bloque 4",1.30362695835676
"Bloque 11","Bloque 4",1.80064281502683
"Bloque 12","Bloque 4",1.67822847248503
"Bloque 0","Bloque 5",0.551450726189989
"Bloque 1","Bloque 5",0.798387967699503
"Bloque 2","Bloque 5",0.635916361745883
"Bloque 3","Bloque 5",0.307635084120798
"Bloque 4","Bloque 5",0.552321478931247
"Bloque 5","Bloque 5",0
"Bloque 6","Bloque 5",0.226415737800772
"Bloque 7","Bloque 5",0.203612873525288
"Bloque 8","Bloque 5",0.186874447789067
"Bloque 9","Bloque 5",1.58658393984492
"Bloque 10","Bloque 5",1.02224223397891
"Bloque 11","Bloque 5",1.51925809064898
"Bloque 12","Bloque 5",1.39684374810718
"Bloque 0","Bloque 6",0.77786646399076
"Bloque 1","Bloque 6",1.02480370550027
"Bloque 2","Bloque 6",0.821068375213511
"Bloque 3","Bloque 6",0.524517582148595
"Bloque 4","Bloque 6",0.778737216732019
"Bloque 5","Bloque 6",0.226415737800772
"Bloque 6","Bloque 6",0
"Bloque 7","Bloque 6",0.103426718975294
"Bloque 8","Bloque 6",0.242919777490091
"Bloque 9","Bloque 6",1.52959955370368
"Bloque 10","Bloque 6",0.965257847837672
"Bloque 11","Bloque 6",1.46227370450774
"Bloque 12","Bloque 6",1.33985936196594
"Bloque 0","Bloque 7",0.755063599715277
"Bloque 1","Bloque 7",1.00200084122479
"Bloque 2","Bloque 7",0.798265510938027
"Bloque 3","Bloque 7",0.501714717873112
