"Bloque","Aplicacion","tProcesamiento","dInicio","dFin"
"Bloque 0","-",0,0,0
"Bloque 1","Aplicacion 1",0.148586532220137,4,8
"Bloque 2","Aplicacion 1",0.413595689811402,5,11
"Bloque 3","Aplicacion 1",0.453312629181892,4,8
"Bloque 4","Aplicacion 1",0.839134345017373,2,6
"Bloque 5","Aplicacion 1",0.142643396276981,0,2
"Bloque 6","Aplicacion 1",0.501166030112654,3,11
"Bloque 1","Aplicacion 2",0.740861989557743,16,24
"Bloque 2","Aplicacion 2",0.491127444431186,16,20
"Bloque 3","Aplicacion 2",0.187598095918786,15,19
"Bloque 4","Aplicacion 2",1.73796509384158,17,21
"Bloque 5","Aplicacion 2",1.97326034485343,13,19
"Bloque 6","Aplicacion 2",0.431316548027098,13,21
"Bloque 1","Aplicacion 3",1.59275976959616,31,33
"Bloque 2","Aplicacion 3",1.01843528826031,26,32
"Bloque 3","Aplicacion 3",1.87944414645541,29,37
"Bloque 4","Aplicacion 3",2.11574171874323,30,40
"Bloque 5","Aplicacion 3",0.71617835550569,25,35
"Bloque 6","Aplicacion 3",0.166671691537309,28,38
"Bloque 1","Aplicacion 4",0.842241112515942,43,51
"Bloque 2","Aplicacion 4",0.481840385310352,38,40
"Bloque 3","Aplicacion 4",3.32518821346918,42,48
"Bloque 4","Aplicacion 4",2.67919851902286,41,43
"Bloque 5","Aplicacion 4",1.20053486879915,35,41
"Bloque 6","Aplicacion 4",0.815386393480003,39,47
