"Bloque1","Bloque2","Distancia"
"Bloque 0","Bloque 0",0
"Bloque 1","Bloque 0",0.431303657000339
"Bloque 2","Bloque 0",0.235919505167496
"Bloque 3","Bloque 0",1.46811981239709
"Bloque 4","Bloque 0",1.88417660728141
"Bloque 0","Bloque 1",0.431303657000339
"Bloque 1","Bloque 1",0
"Bloque 2","Bloque 1",0.406399982058848
"Bloque 3","Bloque 1",1.17391977079508
"Bloque 4","Bloque 1",1.5899765656794
"Bloque 0","Bloque 2",0.235919505167496
"Bloque 1","Bloque 2",0.406399982058848
"Bloque 2","Bloque 2",0
"Bloque 3","Bloque 2",1.58031975285393
"Bloque 4","Bloque 2",1.99637654773825
"Bloque 0","Bloque 3",1.46811981239709
"Bloque 1","Bloque 3",1.17391977079508
"Bloque 2","Bloque 3",1.58031975285393
"Bloque 3","Bloque 3",0
"Bloque 4","Bloque 3",0.416056794884319
"Bloque 0","Bloque 4",1.88417660728141
"Bloque 1","Bloque 4",1.5899765656794
"Bloque 2","Bloque 4",1.99637654773825
"Bloque 3","Bloque 4",0.416056794884319
"Bloque 4","Bloque 4",0
